Expected value: 1724.375
Variance: 862.1875
Standard deviation: 29.363029475856198

Mean absolute error: 32.06
Mean relative error: 1.86%
Mean accuracy ratio: 98.14%

Smallest counter value: 1581
Largest counter value: 1866

Mean counter value: 1723.511
Mean absolute deviation: 32.071802
Standard deviation: 40.05403698754971
Maximum deviation: 142.51099999999997
Variance: 1604.325879

Mean Counter Values per Word:
Word : Counter Value : Expected Value
guarda          : 0.57          : 0.56
olimpo          : 0.57          : 0.56
europa          : 0.57          : 0.56
boca            : 0.57          : 0.56
vejo            : 0.56          : 0.56
remota          : 0.56          : 0.56
espera          : 0.56          : 0.56
fraca           : 0.56          : 0.56
estranho        : 0.56          : 0.56
sustentar       : 0.56          : 0.56
trato           : 0.56          : 0.56
enganos         : 0.56          : 0.56
conta           : 0.56          : 0.56
voa             : 0.56          : 0.50
formosas        : 0.56          : 0.56
verá            : 0.56          : 0.56
honra           : 0.56          : 0.56
astuto          : 0.56          : 0.56
dai             : 0.56          : 0.56
rios            : 0.56          : 0.56
mestre          : 0.56          : 0.56
delas           : 0.55          : 0.56
escuro          : 0.55          : 0.56
gosto           : 0.55          : 0.56
ficava          : 0.55          : 0.56
diligente       : 0.55          : 0.56
poderoso        : 0.55          : 0.56
nuno            : 0.55          : 0.56
peso            : 0.55          : 0.56
alegres         : 0.55          : 0.56
amizade         : 0.55          : 0.56
culpa           : 0.55          : 0.56
direito         : 0.55          : 0.56
respeito        : 0.55          : 0.56
cego            : 0.55          : 0.56
crua            : 0.55          : 0.50
maura           : 0.55          : 0.56
ajuntamento     : 0.55          : 0.56
muro            : 0.55          : 0.56
ninho           : 0.55          : 0.56
roxo            : 0.54          : 0.56
calecu          : 0.54          : 0.56
nilo            : 0.54          : 0.50
companheiro     : 0.54          : 0.56
multidão        : 0.54          : 0.56
versos          : 0.54          : 0.56
posta           : 0.54          : 0.56
danos           : 0.54          : 0.56
contente        : 0.54          : 0.56
hão             : 0.54          : 0.50
verde           : 0.54          : 0.56
vinham          : 0.54          : 0.56
cabelos         : 0.54          : 0.56
bandeiras       : 0.54          : 0.56
ofício          : 0.53          : 0.50
dina            : 0.53          : 0.50
suma            : 0.53          : 0.50
ódio            : 0.53          : 0.50
partia          : 0.53          : 0.50
lava            : 0.53          : 0.56
subtil          : 0.53          : 0.50
mando           : 0.53          : 0.50
linda           : 0.53          : 0.56
branca          : 0.53          : 0.56
nomes           : 0.53          : 0.50
morto           : 0.52          : 0.50
diversos        : 0.52          : 0.50
dito            : 0.52          : 0.50
pedras          : 0.52          : 0.50
tenção          : 0.52          : 0.50
falsidade       : 0.52          : 0.50
ouvir           : 0.52          : 0.50
verão           : 0.52          : 0.50
tornar          : 0.52          : 0.50
tomé            : 0.52          : 0.50
celeste         : 0.52          : 0.50
fantasia        : 0.52          : 0.50
doutra          : 0.52          : 0.56
vã              : 0.52          : 0.50
sinais          : 0.51          : 0.56
cuidava         : 0.51          : 0.50
dio             : 0.51          : 0.50
apolo           : 0.51          : 0.50
deixava         : 0.51          : 0.50
febo            : 0.51          : 0.56
extremo         : 0.51          : 0.50
ilustres        : 0.51          : 0.56
sujeito         : 0.51          : 0.50
vulcano         : 0.51          : 0.50
cuidado         : 0.51          : 0.50
enxerga         : 0.51          : 0.50
entende         : 0.51          : 0.50
parentes        : 0.51          : 0.50
igual           : 0.51          : 0.50
próprios        : 0.51          : 0.50
usança          : 0.51          : 0.50
tenha           : 0.50          : 0.50
nelas           : 0.50          : 0.50
sabia           : 0.50          : 0.50
angélica        : 0.50          : 0.50
vencer          : 0.50          : 0.50
estrela         : 0.50          : 0.50
mandava         : 0.50          : 0.56
peleja          : 0.50          : 0.50
monçaide        : 0.50          : 0.50
licor           : 0.50          : 0.50
fina            : 0.50          : 0.50
vias            : 0.50          : 0.50
conde           : 0.50          : 0.50
moradores       : 0.49          : 0.50
contrário       : 0.49          : 0.50
golpes          : 0.49          : 0.50
torne           : 0.49          : 0.50
caro            : 0.49          : 0.50
fonte           : 0.49          : 0.50
areia           : 0.49          : 0.50
fino            : 0.49          : 0.50
queres          : 0.49          : 0.50
farão           : 0.49          : 0.50
corações        : 0.49          : 0.50
cantando        : 0.49          : 0.50
oferece         : 0.49          : 0.50
natural         : 0.49          : 0.50
pintura         : 0.49          : 0.50
milagre         : 0.49          : 0.50
ares            : 0.49          : 0.50
templo          : 0.49          : 0.44
descobre        : 0.48          : 0.50
trouxe          : 0.48          : 0.50
portas          : 0.48          : 0.50
