Expected value: 2523.75
Variance: 1261.875
Standard deviation: 35.5228799508148

Mean absolute error: 71.25
Mean relative error: 2.82%
Mean accuracy ratio: 97.18%

Smallest counter value: 2595
Largest counter value: 2595

Mean counter value: 2595.0
Mean absolute deviation: 0.0
Standard deviation: 0.0
Maximum deviation: 0.0
Variance: 0.0

Mean Counter Values per Word:
Word : Counter Value : Expected Value
inquiry         : 1.00          : 0.75
gave            : 1.00          : 2.88
investigation   : 1.00          : 0.75
quick           : 1.00          : 1.56
success         : 1.00          : 0.62
possibility     : 1.00          : 0.25
disreputable    : 1.00          : 0.19
use             : 1.00          : 2.06
bedroom         : 1.00          : 1.12
emerged         : 1.00          : 0.50
tweed           : 1.00          : 0.19
pockets         : 1.00          : 0.50
stretched       : 1.00          : 0.56
heartily        : 1.00          : 0.44
ended           : 1.00          : 0.25
wonderful       : 1.00          : 0.31
garden          : 1.00          : 1.12
lock            : 1.00          : 1.00
view            : 1.00          : 0.94
interest        : 1.00          : 2.38
lounged         : 1.00          : 0.19
expected        : 1.00          : 0.81
wall            : 1.00          : 0.88
shag            : 1.00          : 0.25
listen          : 1.00          : 0.44
turned          : 1.00          : 3.19
male            : 1.00          : 0.19
dashing         : 1.00          : 0.12
temple          : 1.00          : 0.25
campaign        : 1.00          : 0.12
mistress        : 1.00          : 0.25
keeping         : 1.00          : 0.25
issue           : 1.00          : 0.12
continue        : 1.00          : 0.56
field           : 1.00          : 0.56
bore            : 1.00          : 0.31
cab             : 1.00          : 1.62
drove           : 1.00          : 1.62
hurry           : 1.00          : 0.56
wait            : 1.00          : 1.19
air             : 1.00          : 1.69
talking         : 1.00          : 0.56
presently       : 1.00          : 0.56
pocket          : 1.00          : 1.44
drive           : 1.00          : 1.31
regent          : 1.00          : 0.12
church          : 1.00          : 0.88
guinea          : 1.00          : 0.25
ear             : 1.00          : 0.56
shot            : 1.00          : 0.88
glimpse         : 1.00          : 0.44
jumped          : 1.00          : 0.19
wind            : 1.00          : 0.69
faster          : 1.00          : 0.12
arrived         : 1.00          : 1.00
dropped         : 1.00          : 1.00
running         : 1.00          : 0.81
thank           : 1.00          : 1.62
god             : 1.00          : 1.81
won             : 1.00          : 1.12
chain           : 1.00          : 0.62
occasion        : 1.00          : 0.31
affairs         : 1.00          : 0.62
measures        : 1.00          : 0.12
driving         : 1.00          : 0.44
different       : 1.00          : 0.81
arrangements    : 1.00          : 0.19
busy            : 1.00          : 0.44
breaking        : 1.00          : 0.50
chance          : 1.00          : 1.56
cause           : 1.00          : 1.25
turner          : 1.00          : 1.38
tray            : 1.00          : 0.06
arranged        : 1.00          : 0.31
occur           : 1.00          : 0.44
join            : 1.00          : 0.19
raise           : 1.00          : 0.81
cry             : 1.00          : 1.75
entirely        : 1.00          : 1.19
taking          : 1.00          : 1.00
rocket          : 1.00          : 0.25
role            : 1.00          : 0.06
disappeared     : 1.00          : 0.56
amiable         : 1.00          : 0.38
trousers        : 1.00          : 0.44
general         : 1.00          : 0.56
assumed         : 1.00          : 0.12
acute           : 1.00          : 0.19
coming          : 1.00          : 1.75
pictured        : 1.00          : 0.06
contrary        : 1.00          : 0.69
knows           : 1.00          : 0.75
carry           : 1.00          : 0.75
indirect        : 1.00          : 0.06
lay             : 1.00          : 2.62
forward         : 1.00          : 1.94
blow            : 1.00          : 0.75
centre          : 1.00          : 1.00
savagely        : 1.00          : 0.12
crowd           : 1.00          : 0.44
fall            : 1.00          : 0.69
direction       : 1.00          : 1.19
voices          : 1.00          : 0.19
fellow          : 1.00          : 2.12
comfortable     : 1.00          : 0.31
principal       : 1.00          : 0.31
drawn           : 1.00          : 1.38
creature        : 1.00          : 0.69
grace           : 1.00          : 0.19
heart           : 1.00          : 1.56
motion          : 1.00          : 0.25
spectators      : 1.00          : 0.06
gentlemen       : 1.00          : 0.38
shriek          : 1.00          : 0.25
clouds          : 1.00          : 0.38
curled          : 1.00          : 0.38
later           : 1.00          : 0.94
alarm           : 1.00          : 0.56
silence         : 1.00          : 1.50
showed          : 1.00          : 1.25
engaged         : 1.00          : 0.94
guessed         : 1.00          : 0.12
fell            : 1.00          : 1.12
clapped         : 1.00          : 0.25
bound           : 1.00          : 0.44
determined      : 1.00          : 1.00
castle          : 1.00          : 0.06
jewel           : 1.00          : 0.56
precious        : 1.00          : 0.75
sliding         : 1.00          : 0.12
panel           : 1.00          : 0.31
hesitated       : 1.00          : 0.19
narrowly        : 1.00          : 0.12
finished        : 1.00          : 0.56
care            : 1.00          : 0.94
satisfaction    : 1.00          : 0.31
change          : 1.00          : 1.00
delay           : 1.00          : 0.25
stopped         : 1.00          : 0.50
pavement        : 1.00          : 0.62
slim            : 1.00          : 0.12
ve              : 1.00          : 0.88
hopes           : 1.00          : 0.44
named           : 1.00          : 0.31
elderly         : 1.00          : 0.25
furniture       : 1.00          : 0.56
flight          : 1.00          : 0.50
dated           : 1.00          : 0.25
midnight        : 1.00          : 0.31
completely      : 1.00          : 0.31
suspicion       : 1.00          : 0.50
months          : 1.00          : 0.81
safeguard       : 1.00          : 0.06
level           : 1.00          : 0.25
successful      : 1.00          : 0.44
slipped         : 1.00          : 0.81
finger          : 1.00          : 1.19
held            : 1.00          : 1.62
bowed           : 1.00          : 0.56
beaten          : 1.00          : 0.38
speaks          : 1.00          : 0.12
possibly        : 1.00          : 0.75
cordially       : 1.00          : 0.06
afraid          : 1.00          : 1.31
partner         : 1.00          : 0.25
utmost          : 1.00          : 0.19
try             : 1.00          : 0.50
custom          : 1.00          : 0.31
bizarre         : 1.00          : 0.25
humdrum         : 1.00          : 0.06
presented       : 1.00          : 0.44
effects         : 1.00          : 0.19
connected       : 1.00          : 0.44
impossible      : 1.00          : 0.88
events          : 1.00          : 1.00
ask             : 1.00          : 2.19
anxious         : 1.00          : 0.56
possible        : 1.00          : 3.12
belief          : 1.00          : 0.38
pride           : 1.00          : 0.31
wrinkled        : 1.00          : 0.25
column          : 1.00          : 0.56
thrust          : 1.00          : 0.69
gain            : 1.00          : 0.38
average         : 1.00          : 0.19
commonplace     : 1.00          : 0.50
british         : 1.00          : 0.25
clean           : 1.00          : 0.50
collar          : 1.00          : 0.44
blazing         : 1.00          : 0.12
manual          : 1.00          : 0.12
takes           : 1.00          : 0.31
ship            : 1.00          : 0.69
worked          : 1.00          : 0.31
smooth          : 1.00          : 0.19
marks           : 1.00          : 0.62
contributed     : 1.00          : 0.06
addition        : 1.00          : 0.12
heavily         : 1.00          : 0.81
omne            : 1.00          : 0.06
ignotum         : 1.00          : 0.06
vacancy         : 1.00          : 0.44
age             : 1.00          : 0.88
apply           : 1.00          : 0.44
ross            : 1.00          : 0.81
ejaculated      : 1.00          : 0.25
wriggled        : 1.00          : 0.06
date            : 1.00          : 0.50
mopping         : 1.00          : 0.06
affair          : 1.00          : 0.88
learn           : 1.00          : 0.69
assistant       : 1.00          : 0.94
photography     : 1.00          : 0.19
camera          : 1.00          : 0.06
ought           : 1.00          : 0.38
diving          : 1.00          : 0.06
cellar          : 1.00          : 0.94
