Expected value: 841.625
Variance: 420.8125
Standard deviation: 20.513714924410937

Mean absolute error: 12624.2258
Mean relative error: 93.75%
Mean accuracy ratio: 1.00%

Smallest counter value: 744
Largest counter value: 957

Mean counter value: 841.7742
Mean absolute deviation: 22.23601288
Standard deviation: 27.871763746846018
Maximum deviation: 115.22580000000005
Variance: 776.83521436

Mean Counter Values per Word:
Word : Counter Value : Expected Value
sole            : 0.19          : 0.19
powder          : 0.19          : 0.19
slaughter       : 0.19          : 0.19
present         : 0.19          : 0.19
smiles          : 0.19          : 0.19
waking          : 0.19          : 0.19
flies           : 0.19          : 0.19
afore           : 0.19          : 0.19
dispaire        : 0.19          : 0.19
chance          : 0.19          : 0.19
appeare         : 0.19          : 0.19
field           : 0.19          : 0.19
beseeming       : 0.19          : 0.19
iudgement       : 0.19          : 0.19
meaning         : 0.19          : 0.19
burning         : 0.19          : 0.19
beate           : 0.19          : 0.19
cozins          : 0.19          : 0.19
strong          : 0.19          : 0.19
