Expected value: 1724.375
Variance: 862.1875
Standard deviation: 29.363029475856198

Mean absolute error: 62.375
Mean relative error: 3.62%
Mean accuracy ratio: 96.38%

Smallest counter value: 1662
Largest counter value: 1662

Mean counter value: 1662.0
Mean absolute deviation: 0.0
Standard deviation: 0.0
Maximum deviation: 0.0
Variance: 0.0

Mean Counter Values per Word:
Word : Counter Value : Expected Value
tetas           : 1.00          : 0.12
petrina         : 1.00          : 0.06
lisas           : 1.00          : 0.06
véu             : 1.00          : 0.19
raro            : 1.00          : 0.38
ciúmes          : 1.00          : 0.19
aqueixa         : 1.00          : 0.06
fala            : 1.00          : 0.75
posto           : 1.00          : 1.75
brutas          : 1.00          : 0.12
fica            : 1.00          : 1.25
destas          : 1.00          : 0.38
tigre           : 1.00          : 0.12
subido          : 1.00          : 0.69
aumenta         : 1.00          : 0.12
ama             : 1.00          : 1.00
acrescente      : 1.00          : 0.12
sossego         : 1.00          : 0.19
filha           : 1.00          : 1.06
ninguém         : 1.00          : 0.62
ilustres        : 1.00          : 0.56
facundo         : 1.00          : 0.31
ulisses         : 1.00          : 0.25
bravo           : 1.00          : 0.88
cidades         : 1.00          : 0.81
edificados      : 1.00          : 0.06
deles           : 1.00          : 0.81
calma           : 1.00          : 0.25
tolhia          : 1.00          : 0.12
ormuz           : 1.00          : 0.25
virá            : 1.00          : 0.56
sublimada       : 1.00          : 0.25
exalçada        : 1.00          : 0.06
cochim          : 1.00          : 0.19
instructo       : 1.00          : 0.12
leucate         : 1.00          : 0.06
injusto         : 1.00          : 0.25
nilo            : 1.00          : 0.50
bactra          : 1.00          : 0.06
sujeita         : 1.00          : 0.25
quersoneso      : 1.00          : 0.19
gangético       : 1.00          : 0.12
agravado        : 1.00          : 0.19
sossegado       : 1.00          : 0.44
sonhos          : 1.00          : 0.38
asas            : 1.00          : 0.50
costumado       : 1.00          : 0.19
arde            : 1.00          : 0.25
val             : 1.00          : 0.38
infernais       : 1.00          : 0.25
aparece         : 1.00          : 0.69
fuge            : 1.00          : 0.25
cru             : 1.00          : 0.12
feras           : 1.00          : 0.31
muitas          : 1.00          : 0.81
amizade         : 1.00          : 0.56
gasalhado       : 1.00          : 0.06
anda            : 1.00          : 0.81
movimento       : 1.00          : 0.44
estima          : 1.00          : 0.69
vista           : 1.00          : 2.50
falando         : 1.00          : 0.44
recebera        : 1.00          : 0.06
buscava         : 1.00          : 0.19
humanidade      : 1.00          : 0.38
sonho           : 1.00          : 0.31
corno           : 1.00          : 0.25
rodeia          : 1.00          : 0.25
doutra          : 1.00          : 0.56
pega            : 1.00          : 0.12
nobreza         : 1.00          : 0.31
generosos       : 1.00          : 0.19
